geoname_id,subdivision_1_custom_code,subdivision_1_custom_name,subdivision_2_custom_code,subdivision_2_custom_name
"1263207","","","",""
"1276713","","","",""
"1273678","","","",""
"1268810","","","",""
"1261208","","","",""
"1261205","","","",""
"1256523","","","",""
"1254046","","","",""
"1444366","","","",""
"1278974","","","",""
"1441023","","","",""
"10809760","","","",""
"10323028","","","",""
"8986020","","","",""
"1277907","","","",""
"10323097","","","",""
"1440799","","","",""
"1276642","","","",""
"10260660","","","",""
"10807343","","","",""
"10827018","","","",""
"10831061","","","",""
"10573480","","","",""
"1275526","","","",""
"1274838","","","",""
"1274824","","","",""
"1274524","","","",""
"1273313","","","",""
"6954188","","","",""
"10824293","","","",""
"8739992","","","",""
"1272444","","","",""
"10805650","","","",""
"11185359","","","",""
"1444438","","","",""
"1270949","","","",""
"10323057","","","",""
"10830948","","","",""
"1270498","","","",""
"1270127","","","",""
"1270351","","","",""
"10808959","","","",""
"1269168","","","",""
"1267703","","","",""
"1267579","","","",""
"10822957","","","",""
"1440907","","","",""
"10805595","","","",""
"1266843","","","",""
"1266575","","","",""
"1266014","","","",""
"1265208","","","",""
"1265155","","","",""
"10260683","","","",""
"1264850","","","",""
"1262374","","","",""
"1262117","","","",""
"1440794","","","",""
"1260440","","","",""
"1260273","","","",""
"1260016","","","",""
"1259503","","","",""
"10600005","","","",""
"10573438","","","",""
"1258637","","","",""
"1258455","","","",""
"1258128","","","",""
"1258044","","","",""
"10824239","","","",""
"1258003","","","",""
"10180531","","","",""
"1444609","","","",""
"1445044","","","",""
"1255963","","","",""
"1255635","","","",""
"1254808","","","",""
"1253628","","","",""
"1269750","","","",""
"1269431","","","",""
"1254555","","","",""
"1269320","01","Jammu And Kashmir","",""
"1278667","01","Jammu And Kashmir","",""
"1429793","01","Jammu And Kashmir","",""
"10593118","01","Jammu And Kashmir","",""
"1277297","01","Jammu And Kashmir","",""
"10685050","01","Jammu And Kashmir","",""
"9982537","01","Jammu And Kashmir","",""
"1276358","01","Jammu And Kashmir","",""
"1275692","01","Jammu And Kashmir","",""
"10571462","01","Jammu And Kashmir","",""
"9982657","01","Jammu And Kashmir","",""
"1272476","01","Jammu And Kashmir","",""
"1433149","01","Jammu And Kashmir","",""
"1439724","01","Jammu And Kashmir","",""
"1269321","01","Jammu And Kashmir","",""
"1267994","01","Jammu And Kashmir","",""
"1267776","01","Jammu And Kashmir","",""
"1267486","01","Jammu And Kashmir","",""
"1267448","01","Jammu And Kashmir","",""
"1266475","01","Jammu And Kashmir","",""
"10683057","01","Jammu And Kashmir","",""
"1265734","01","Jammu And Kashmir","",""
"6268046","01","Jammu And Kashmir","",""
"1264976","01","Jammu And Kashmir","",""
"10684960","01","Jammu And Kashmir","",""
"1259251","01","Jammu And Kashmir","",""
"1167718","01","Jammu And Kashmir","",""
"1258891","01","Jammu And Kashmir","",""
"1258715","01","Jammu And Kashmir","",""
"1258669","01","Jammu And Kashmir","",""
"1258528","01","Jammu And Kashmir","",""
"1257545","01","Jammu And Kashmir","",""
"1255891","01","Jammu And Kashmir","",""
"1255714","01","Jammu And Kashmir","",""
"1255634","01","Jammu And Kashmir","",""
"1254985","01","Jammu And Kashmir","",""
"1253956","01","Jammu And Kashmir","",""
